singRecp,singRecp-href,Overview,Profile,Rating,Ingred1,Ingred2,Ingred3,Ingred4,Ingred5,Ingred6,Ingred7,Ingred8,Ingred9,Ingred10,Ingred11,Ingred12,Procedure
"Red King Ale","https://beerrecipes.org/Recipe/690/red-king-ale.html","Beer Style: American Brown Ale (10C)

Recipe Type: extract

Yield: 5 US gallons","Original Gravity: 1.082 (6 gallons)
 Final Gravity: 1.016 (diluted to 10 gallons)
 Alcohol by Vol: 8.64%
 Recipe Type: extract
 Yield: 5.00 US Gallons","3.3 stars based on 12 votes

No reviews","6.6 pounds, Northwestern dark malt extract","6.6 pounds, Northwestern amber malt extract","4 cups, crystal malt (60 L.)","2 ounces, Northern Brewer hops (8.2% alpha)","2 ounces, Clusters hops (6.9% alpha)","2 ounces, Cascades hops","Glenbrew ale yeast","null","null","null","null","null","Crush crystal malt and steep for 20 minutes. Strain and sparge grain into boiling pot. Add all extracts and enough water to bring dangerously close to top of brew pot. (Watch out for the massive boil-over! This batch WILL BOIL-OVER!) Just before this the foam gets to be nasty fill a pre-sanatized 2-liter soda bottle with the hot wort and allow to cool (leave a three inch head space). Pitch yeast in this when cool. Back to the wort, add one ounce of Northern brewer when the boil begins, and another ounce 15 minutes later. Add the 2 ounces of clusters at 40 minutes. At the end of the 60 minute boil, turn off heat and add the Cascades. Cover and allow to steep for 10-15 minutes. Strain out and sparge hops. Pour rest of wort into fermenter. Add water to bring to up to 6 gallons. (If your lucky enough to have a large enough fermenter, bring to 10 gallons). Pour in starter when wort is cool. One week later rack to 2 - five gallon carboys. Bring up to five gallon mark in each one (if needed). Ferment another week. Keg, age, drink."
"Wheat Beer #1","https://beerrecipes.org/Recipe/177/wheat-beer-1.html","Beer Style: Weizen/Weissbier (15A)

Recipe Type: extract

Yield: 5 US gallons","Source:
Mike Lang","3.3 stars based on 6 votes

No reviews","6 pounds, Wheat/Malt extract","1 pound, honey","3 cups, crystal malt","1 pound, DME","2 ounces, Hallertauer (boil 60 minutes)","1/2 ounce, Hallertauer (finish 2 mins)","Wyeast Bavarian wheat yeast","null","null","null","null","null","Cooled overnight outside. Rack to new carboy next day and pitch WYeast Bavarian Wheat."
"English Pale Ale 2","https://beerrecipes.org/Recipe/1198/english-pale-ale-2.html","Beer Style: American Pale Ale (10A)

Recipe Type: extract

Yield: 5 US gallons","Original Gravity: 1.050
 Final Gravity: 1.010
 Alcohol by Vol: 5.24%
 Recipe Type: extract
 Yield: 5.00 US Gallons","3.4 stars based on 17 votes

No reviews","6.6lbs Muntons LME","1/2lb 40lov Crystal","1oz NB 10.6%AA 60min","1tsp Irish Moss 15min","1oz Challenger 6.5%AA 15min","1/2oz EKG 4.5%AA 5min","1/2oz EKG Dryhop","British Ale Yeast 1098","null","null","null","null","Steep grains at 150 for 20 minutes then remove. Add malt extact and bring to a boil then follow the hopping schedule. Cool to 75 and pitch yeast. When fermentation is complete rack to a keg, cool and force carbonate. Let it age in the fridge for a week or two."
"Sweetport Porter","https://beerrecipes.org/Recipe/340/sweetport-porter.html","Beer Style: Brown Porter (12A)

Recipe Type: extract

Yield: 5 US gallons","Original Gravity: 1.066
 Final Gravity: 1.025
 Alcohol by Vol: 5.37%
 Recipe Type: extract
 Yield: 5.00 US Gallons","3.3 stars based on 12 votes

No reviews","3.3 pounds, Munton & Fison dark malt extract syrup","2.2 pounds, dark dried malt extract","1.1 pounds, light dried malt extract","8.5 ounces, malto-dextrin powder","1.1 pounds, crystal malt (40 L)","4-1/4 ounces, chocolate malt","4-1/4 ounces, black patent malt","1 cup, light clover honey","1 cup, brown sugar","1/3 cup, blackstrap molasses","1 ounce, Clusters hop pellets (boil)","1 ounce, Cascade hop pellets (boil)","Crush grains and steep for 30 minutes in water at 158 degrees. Strain into boiling vessel and sparge with 158 degrees water. Add malt extracts, dextrin, honey, brown sugar, molasses and gypsum and bring to a boil. Add boiling hops 5 minutes into boil, Irish moss for the last 15 minutes and finishing hops in last 5 minutes. Total boil of 50 minutes. Cool to at least 68 degrees before pitching yeast. Prime with dextrose as usual."
"Wheat Amber","https://beerrecipes.org/Recipe/166/wheat-amber.html","Beer Style: Weizen/Weissbier (15A)

Recipe Type: extract

Yield: 5 US gallons","Source:
Marc San Soucie","3.6 stars based on 11 votes

No reviews","1 can, Kwoffit Bitter kit (hopped extract)","3 pounds, light dry malt extract","1 pound, crystal malt","1/2 pound, wheat malt","Fuggles leaf hops","Kwoffit yeast","null","null","null","null","null","null","Steep the crystal and wheat malts. Boil the resulting mixture with the Kwoffit kit and the light extract. Add a small amount (up to 1/2 ounce) of the Fuggles hops in the last minute of the boil."
"Tropical Ambrosia Melomel 2","https://beerrecipes.org/Recipe/895/tropical-ambrosia-melomel-2.html","Beer Style: Other Fruit Melomel (25C)

Recipe Type: other

Yield: 5 US gallons","Source:
Charlie Moody","3.6 stars based on 16 votes

No reviews","14-1/2 # orange blossom honey","4-1/2 gallons spring water","2 pineapples, peeled, cored & chunked","4 mangoes, peeled and chunked","1 tangerine, sliced and seeded","2 cups dried cranberries","7 ounces ginger juice","1 cup strong black tea","zest of 2 limes","zest of 3 oranges","3-1/2 tsp. yeast hulls","7 yeast energizer tablets","I heated 2 gallons of water, then added 5 quarts of the honey, got it all stirred in, then brought the temp. up to about 180F. Kept it there for 30 min. Everything went fine until I started adding the fruit to the must. I quickly realised that the pot I was cooking in was running out of room, and I still had plenty of fruit to go! 



I grabbed my half-gallon pyrex cup & scooped out about 3 pints, and added the rest of the fruit to it, stuck it in the microwave & zapped it several times, stirring after each zap, while struggling to get a completely-full 4-gallon pot off the stove and into to sink to cool. *sigh* Not all the must made it. 



The stuff was thick as anything and *extremely* sweet (apparently even more so than my first must (SG=3D1.1225)), so I figured I'd better dilute it some...oops, then I had 6.5 G of must filling up my 6.5 G fermenting bucket! *sigh* Now it's a two-carboy batch...at least there was room for the yeast! 



Ever try to pick up a *full* 6.5 G bucket & pour it *all* into a funnel perched on top of a carboy? *sigh* Of course you haven't, and neither have I: I started bailing into the funnel, and making an incredible wreck of the kitchen...which I then managed to track all over the carpet.... 



By this time, I had fruit clogging the funnel, pools of fresh honey-glue creeping across my kitchen counters and floor, sticky spots on the floor throughout the house, and two open carboys, but I finally got the fruit distributed between the bottles, got the fruit *rammed* through the funnel and *into* the carboys (*grrr*), locks installed, and everything cleaned up (or at least, wiped down)."
"Long Island Winter Warmer","https://beerrecipes.org/Recipe/420/long-island-winter-warmer.html","Beer Style: Old Ale (19A)

Recipe Type: all-grain

Yield: 5 US gallons","Original Gravity: 1.057
 Final Gravity: 1.020
 Alcohol by Vol: 4.84%
 Recipe Type: all-grain
 Yield: 5.00 US Gallons","3.4 stars based on 14 votes

No reviews","7 pounds, mild ale malt","3 pounds, US 6-row malt","2 ounces, Cascade (leaf) - boil 75 min.","1 ounce, Cascade (leaf) - boil 30 min.","1/2 ounce, Cascade (leaf) - boil 15 min.","1/2 ounce, Cascade (leaf) - steep for 15 min. after the boil","1/2 ounce, Cascade (leaf) - dry hop in the secondary","ale yeast","null","null","null","null","The Cascade hops were fresh and very aromatic, from the fall '91 harvest. Alpha acid was about 5%; alas I didn't write it down. I used Edme yeast, although I doubt if I would ever again usedried yeast on a beer like this (or any beer?). Fortunately, I got no infections."
"mugwort-meyer lemon metheglin","https://beerrecipes.org/Recipe/1162/mugwort-meyer-lemon-metheglin.html","Beer Style: Metheglin (26A)

Recipe Type: other

Yield: 5 US gallons","Source:
Eric Eastridge","3.3 stars based on 15 votes

No reviews","15 lbs. clover honey 8 meyer lemons (sweeter, thinner peel) bundle of fresh, wild california mugwort tops (harvested mid-july) champagne yeast","null","null","null","null","null","null","null","null","null","null","null","Bring 3 gal. good water to simmer. Stir in honey. At 190 degrees, turn off heat. Zest and chop lemons with peel and add to must with mugwort. Let stand for half hour between 180 and 190 degrees. Rack to 7 gal. carboy on top of 1 gal cool sterile water. Top to 6 gallons. Pitch yeast when slightly warm."
"Strong Bread Ale","https://beerrecipes.org/Recipe/1091/strong-bread-ale.html","Beer Style: Cream Ale (6A)

Recipe Type: extract

Yield: 5 US gallons","Original Gravity: ??
 Final Gravity: ??
 Recipe Type: extract
 Yield: 5.00 US Gallons","3.2 stars based on 9 votes

No reviews","2.2kg Coopers Light Dry Malt","440g Brew Enhancer One (or any dextrose+maltodextrin mixture)","880g light honey","220g Puffed Wheat","44-66g Pilgrim or Pride of Ringwood hops (60min)","1tsp Irish Moss (10min)","Safale S-04","null","null","null","null","null","1. Steep the wheat at around 60-70C for around half an hour.

2. Strain into brew pot. Bring to the boil and add malt, brew enhancer, honey, and hops.

3. Boil for 1 hour, adding Irish Moss in the last 10 min.

4. Let cool. Pitch yeast. Bottle condition with dextrose (about 1tsp per 750ml bottle).



Note: Batch size is 22 litres.



Allow at least 2 weeks before consumption... Enjoy"
"Munich Style Lager","https://beerrecipes.org/Recipe/2/munich-style-lager.html","Beer Style: Munich Helles (1D)

Recipe Type: all-grain

Yield: 5 US gallons","Original Gravity: 1.052
 Final Gravity: 1.015
 Alcohol by Vol: 4.84%
 Recipe Type: all-grain
 Yield: 5.00 US Gallons","3.5 stars based on 2 votes

No reviews","7 pounds, Klages malt","3 pounds, Vienna malt","6 ounces, pearl barley","1-1/2 ounces, Hallertauer leaf hops","1/2 ounce, Hallertauer hops (finish)","Wyeast #2206","null","null","null","null","null","null","Soak the pearl barley overnight in the refrigerator, mix it into a starchy glue using a blender. Mash the pearl barley with the grains. Boil 1-1/2 ounces of Hallertauer with the wort. Add 1/4 ounce of finishing hops in last 10 minutes and steep 1/4 ounce after boil is complete. Pitch yeast at about 76 degrees. 



I put the fermenter in fridge for 23 days, then racked to secondary for another 49 days before bottling."
"Brewhaus Porter","https://beerrecipes.org/Recipe/350/brewhaus-porter.html","Beer Style: Robust Porter (12B)

Recipe Type: all-grain

Yield: 5 US gallons","Original Gravity: 1.050
 Recipe Type: all-grain
 Yield: 5.00 US Gallons","3.5 stars based on 4 votes

No reviews","8 pounds, 2-row Klage malt","1 pound, crystal malt (90 Lovibond)","1 pound, dextrin malt","1/2 pound, chocolate malt","1/2 pound, black malt","1/2 teaspoon, gypsum","lactic acid to adjust mash water to pH 5.2","1-1/3 ounces, Northern Brewer hop pellets (8.5% pellets)","1/2 ounce, Fuggle hop pellets (3.7% alpha)","1 teaspoon, Irish Moss","1 teaspoon, gelatin finings","3/4 cup, corn sugar (priming)","Mash grains in 11 quarts of mash water at 152 degrees for two hours, or until conversion is complete. Sparge with 170 degree water to collect 6 gallons. Bring wort to a boil and let boil for 15 minutes before adding the 1-1/3 ounces Northern Brewer hops. Boil for one hour. Add Irish moss. Boil 30 minutes. (1 hour, 45 minutes total boiling time). Cut heat, add aromatic hops and let rest for 15 minutes. Force cool wort to yeast pitching temperature. Transfer cooled wort to primary fermenter and pitch yeast starter. Fine with geletin when fermentation is complete. Bottle with 3/4 cup corn sugar boiled in one cup water."
"Billy Bob's Blueberry Bitter","https://beerrecipes.org/Recipe/620/billy-bobs-blueberry-bitter.html","Beer Style: Fruit Beer (20A)

Recipe Type: all-grain

Yield: 5 US gallons","Original Gravity: 1.060
 Final Gravity: 1.007
 Alcohol by Vol: 6.94%
 Recipe Type: all-grain
 Yield: 5.00 US Gallons","3.3 stars based on 4 votes

No reviews","9 pounds English Pale 2-row","1.5 oz Cascade hops for 60 minutes","0.5 oz Cascade hops for 30 minutes","1.0 oz Kent Goldings hops for 1 minute","1 tsp. gypsum added to mash","2 tsp. Irish Moss added 30 minutes prior to end of boil","10 pounds fresh blueberries","Wyeast American Ale yeast -- no starter","null","null","null","null","Mashed in single infusion. Starch conversion around 156F for 60 minutes. Mash out at 168F for five. Sparge water @ 170F. Exact amount of sparge water unknown; I simply sparger until desired yield was reached. 



The blueberries were crushed prior to adding to wort. They were added to wort after the end of boil, when temperature of wort was lower than 180F. The blueberries were allowed to sit in hot wort for 15 minutes. The wort was then chilled with an immersion chiller. Then, the whole shebang (fruit, hops, and all) were poured into a plastic fermenter for primary fermentation. Primary done for seven days, following which the beer was racked off of the gunk into glass. I think I left it in the glass for two days; fermentation was pretty much complete. Oh -- a tsp. of polyclar added 24 hours prior to bottling."
"Winters Tavern Pale","https://beerrecipes.org/Recipe/121/winters-tavern-pale.html","Beer Style: Cream Ale (6A)

Recipe Type: extract

Yield: 5 US gallons","Original Gravity: 1.045
 Recipe Type: extract
 Yield: 5.00 US Gallons","3.6 stars based on 15 votes

No reviews","8 pounds, Alexanders pale malt extract","1/4 pound, Crystal 40L (light)","1/4 pound, Crystal 80L (medium)","1/2 ounce, Chinook (12%), 60 min. boil","1 ounce, Cascade (5.5%), 30 min. boil","1 to 1--1/2 ounce, Cascade - Dry-hopped","Wyeast #1056 American Ale Yeast","3/4 cup, corn sugar to prime","null","null","null","null","Let the initial primary fermentation go for a couple of days, I usually dump the wort into a plastic bucket filled with cold water and get just about the right temp as well as a great cold break. I let this sit for about an hour and rack to a 5 gallon carboy (to get rid of all the trub) and then pitch my starter and relax... 



After primary rack (without splashing!) to a secondary and add dry-hops. You can either use a hop bag or just throw them in. I have not had any trouble siphoning off for bottling with that little orange plug they give you with the racking tube. Let this go 1-2 weeks at about 65-68 degrees. Bottle. 



It should be drinkable after a week or two, but if you can hold out for 4-6 you will have a magnificent brew... 



Use a yeast starter for best results!"
"Spicy Ginger Bread Porter","https://beerrecipes.org/Recipe/1070/spicy-ginger-bread-porter.html","Beer Style: Robust Porter (12B)

Recipe Type: partial mash

Yield: 5 US gallons","Original Gravity: 1.062
 Final Gravity: 1.011
 Alcohol by Vol: 6.68%
 Recipe Type: partial mash
 Yield: 5.00 US Gallons","3.6 stars based on 11 votes

No reviews","Purchased from Acme:","Whole Nutmeg - $9","Whole Cloves - $4","2 oz Fresh Ginger - $2","Total - $15","Purchased from Brewers Apprentice","8 oz 40L Crystal Malt","8 oz Chocolate Malt","4 oz Black Patent Malt- Total Malt Cost $2.81","6 Pounds Amber Malt Extract - $19","1 lb Extra Light DME - $5.50","1 oz Cinnamon Sticks - $2.25","Steeped Grains at 160 degrees for 45 minutes in about 1.5 gallons of water. Placed pot with lid inside cooler and wrapped in towel. Only lost about 5 degrees over 45 minutes. Washed grains with 2 quarts hot water (about 170 degrees). Total boil was about 2 gallons. Added DME and LME at about 180 degrees and once boil started, added 1 oz Cluster. At 30 and 5 min added .5 oz Hallertau. 20 min to go added peeled and pounded ginger (2 oz), 1 tsp cloves, 1 crushed nutmeg, 6 cinnamon sticks, and 1/2 tsp of Irish moss. All of the spices were added to a muslin bag. The ginger was peeled and then hit with a mallet to allow for more surface contact with beer. Used 5 trays of ice to cool and result was 2 gallons. Filled rest with cold tap water. Got down to 70 degrees that way very quickly. Dry hopped with 2 cinnamon sticks, 10 cloves, 1 crushed nutmeg. 



I think that the next time I do this brew, I will dry hop with a little less spice. The nutmeg was a little strong at first but mellowed out. Priming was done with 3/4 cup of dextrose boiled in 1 cup of water for 15 minutes to dissolve and sterilize. 



The Wlabs English Ale Yeast was GREAT. Brewed on Tuesday, December 23, 2008 between 12-4. First sign of fermentation was noticed on Christmas morning. Nothing was observed Christmas Eve (around 10 PM)...so ETF (estimated time of fermentation) is somewhere between midnight ant 10 AM. Fermentation was complete very quickly."
